shoal,fish_id,time,parasite_intensity
Y,UB,1,0
Y,UB,2,0
Y,UB,3,0
Y,UB,4,0
Y,UB,5,0
Y,UB,6,0
Y,UB,7,0
Y,UB,8,0
Y,UB,9,0
Y,UB,10,0
Y,ULG,1,0
Y,ULG,2,0
Y,ULG,3,0
Y,ULG,4,0
Y,ULG,5,0
Y,ULG,6,0
Y,ULG,7,0
Y,ULG,8,0
Y,ULG,9,0
Y,ULG,10,2
Y,LB,1,0
Y,LB,2,0
Y,LB,3,0
Y,LB,4,0
Y,LB,5,0
Y,LB,6,0
Y,LB,7,0
Y,LB,8,0
Y,LB,9,1
Y,LB,10,3
Y,UG,1,0
Y,UG,2,0
Y,UG,3,0
Y,UG,4,0
Y,UG,5,0
Y,UG,6,50
Y,UG,7,55
Y,UG,8,87
Y,UG,9,117
Y,UG,10,159
Y,LG,1,0
Y,LG,2,0
Y,LG,3,0
Y,LG,4,0
Y,LG,5,0
Y,LG,6,0
Y,LG,7,0
Y,LG,8,0
Y,LG,9,0
Y,LG,10,0
Y,ULB,1,0
Y,ULB,2,0
Y,ULB,3,0
Y,ULB,4,0
Y,ULB,5,0
Y,ULB,6,0
Y,ULB,7,0
Y,ULB,8,0
Y,ULB,9,0
Y,ULB,10,0
Aa,UB,1,0
Aa,UB,2,0
Aa,UB,3,0
Aa,UB,4,0
Aa,UB,5,0
Aa,UB,6,0
Aa,UB,7,0
Aa,UB,8,0
Aa,UB,9,0
Aa,UB,10,1
Aa,ULG,1,0
Aa,ULG,2,0
Aa,ULG,3,0
Aa,ULG,4,0
Aa,ULG,5,0
Aa,ULG,6,0
Aa,ULG,7,0
Aa,ULG,8,0
Aa,ULG,9,0
Aa,ULG,10,1
Aa,LB,1,0
Aa,LB,2,0
Aa,LB,3,0
Aa,LB,4,0
Aa,LB,5,0
Aa,LB,6,0
Aa,LB,7,0
Aa,LB,8,0
Aa,LB,9,0
Aa,LB,10,3
Aa,UG,1,0
Aa,UG,2,0
Aa,UG,3,0
Aa,UG,4,0
Aa,UG,5,0
Aa,UG,6,0
Aa,UG,7,0
Aa,UG,8,1
Aa,UG,9,2
Aa,UG,10,2
Aa,LG,1,0
Aa,LG,2,0
Aa,LG,3,0
Aa,LG,4,0
Aa,LG,5,0
Aa,LG,6,39
Aa,LG,7,50
Aa,LG,8,52
Aa,LG,9,83
Aa,LG,10,73
Aa,ULB,1,0
Aa,ULB,2,0
Aa,ULB,3,0
Aa,ULB,4,0
Aa,ULB,5,0
Aa,ULB,6,0
Aa,ULB,7,0
Aa,ULB,8,0
Aa,ULB,9,1
Aa,ULB,10,1
Z,UB,1,0
Z,UB,2,0
Z,UB,3,0
Z,UB,4,0
Z,UB,5,0
Z,UB,6,0
Z,UB,7,0
Z,UB,8,0
Z,UB,9,0
Z,UB,10,0
Z,ULG,1,0
Z,ULG,2,0
Z,ULG,3,0
Z,ULG,4,0
Z,ULG,5,0
Z,ULG,6,0
