Shoal,Day,Treatment,Infection,Mean SL,Mean Intensity,Prevalence,Transmission rate 
Aa,1,L,Before,16.67,0,0,0
Aa,2,L,Before,16.67,0,0,0
Aa,3,L,Before,16.67,0,0,0
Aa,4,L,Before,16.67,0,0,0
Aa,5,L,Before,16.67,0,0,0
Aa,6,L,After,16.67,39,16.6666667,0
Aa,7,L,After,16.67,50,16.6666667,0
Aa,8,L,After,16.67,26,33.3333333,0.5
Aa,9,L,After,16.67,28.66666667,50,0.5
Aa,10,L,After,16.67,13.5,100,1.5
G,1,L,Before,13.95,0,0,0
G,2,L,Before,13.95,0,0,0
G,3,L,Before,13.95,0,0,0
G,4,L,Before,13.95,0,0,0
G,5,L,Before,13.95,0,0,0
G,6,L,After,13.95,46,16.6666667,0
G,7,L,After,13.95,71,16.6666667,0
G,8,L,After,13.95,99,16.6666667,0
G,9,L,After,13.95,76,33.3333333,0.5
G,10,L,After,13.95,56.66666667,50,0.5
H,1,C,Before,14.62,0,0,0
H,2,C,Before,14.62,0,0,0
H,3,C,Before,14.62,0,0,0
H,4,C,Before,14.62,0,0,0
H,5,C,Before,14.62,0,0,0
H,6,C,After,14.62,0,0,0
H,7,C,After,14.62,0,0,0
H,8,C,After,14.62,0,0,0
H,9,C,After,14.62,0,0,0
H,10,C,After,14.62,0,0,0
I,1,M,Before,13.95,0,0,0
I,2,M,Before,13.95,0,0,0
I,3,M,Before,13.95,0,0,0
I,4,M,Before,13.95,0,0,0
I,5,M,Before,13.95,0,0,0
I,6,M,After,13.95,53,16.6666667,0
I,7,M,After,13.95,73,16.6666667,0
I,8,M,After,13.95,45.5,33.3333333,0.5
I,9,M,After,13.95,27,83.3333333,1
I,10,M,After,13.95,38.2,83.3333333,0
J,1,L,Before,13.88,0,0,0
J,2,L,Before,13.88,0,0,0
J,3,L,Before,13.88,0,0,0
J,4,L,Before,13.88,0,0,0
J,5,L,Before,13.88,0,0,0
J,6,L,After,13.88,48,16.6666667,0
J,7,L,After,13.88,32,33.3333333,0.5
J,8,L,After,13.88,27,50,0.5
J,9,L,After,13.88,32.66666667,50,0
J,10,L,After,13.88,22,83.3333333,0.5
K,1,C,Before,13.87,0,0,0
K,2,C,Before,13.87,0,0,0
K,3,C,Before,13.87,0,0,0
K,4,C,Before,13.87,0,0,0
K,5,C,Before,13.87,0,0,0
K,6,C,After,13.87,0,0,0
K,7,C,After,13.87,0,0,0
K,8,C,After,13.87,0,0,0
K,9,C,After,13.87,0,0,0
K,10,C,After,13.87,0,0,0
L,1,M,Before,13.83,0,0,0
L,2,M,Before,13.83,0,0,0
L,3,M,Before,13.83,0,0,0
L,4,M,Before,13.83,0,0,0
L,5,M,Before,13.83,0,0,0
L,6,M,After,13.83,36,16.6666667,0
L,7,M,After,13.83,30.5,33.3333333,0.5
L,8,M,After,13.83,22.25,66.6666667,0.5
L,9,M,After,13.83,19.6,83.3333333,0.5
L,10,M,After,13.83,20.66666667,100,0.5
M,1,M,Before,16.6,0,0,0
M,2,M,Before,16.6,0,0,0
M,3,M,Before,16.6,0,0,0
M,4,M,Before,16.6,0,0,0
M,5,M,Before,16.6,0,0,0
M,6,M,After,16.6,43,16.6666667,0
M,7,M,After,16.6,51,16.6666667,0
M,8,M,After,16.6,33,33.3333333,0.5
M,10,M,After,16.6,38.5,16.6666667,0
N,1,L,Before,17.18,0,0,0
N,2,L,Before,17.18,0,0,0
N,3,L,Before,17.18,0,0,0
N,4,L,Before,17.18,0,0,0
N,5,L,Before,17.18,0,0,0
N,6,L,After,17.18,39,16.6666667,0
N,7,L,After,17.18,41,16.6666667,0
N,8,L,After,17.18,18.67,50,0.5
N,9,L,After,17.18,22,50,0
N,10,L,After,17.18,23,66.6666667,0.5
O,1,C,Before,15.18,0,0,0
O,2,C,Before,15.18,0,0,0
O,3,C,Before,15.18,0,0,0
O,4,C,Before,15.18,0,0,0
O,5,C,Before,15.18,0,0,0
O,6,C,After,15.18,0,0,0
O,7,C,After,15.18,0,0,0
O,8,C,After,15.18,0,0,0
O,9,C,After,15.18,0,0,0
O,10,C,After,15.18,0,0,0
P,1,C,Before,17.8,0,0,0
P,2,C,Before,17.8,0,0,0
P,3,C,Before,17.8,0,0,0
P,4,C,Before,17.8,0,0,0
P,5,C,Before,17.8,0,0,0
P,6,C,After,17.8,0,0,0
P,7,C,After,17.8,0,0,0
P,8,C,After,17.8,0,0,0
P,9,C,After,17.8,0,0,0
P,10,C,After,17.8,0,0,0
Q,1,L,Before,15.72,0,0,0
Q,2,L,Before,15.72,0,0,0
Q,3,L,Before,15.72,0,0,0
Q,4,L,Before,15.72,0,0,0
Q,5,L,Before,15.72,0,0,0
Q,6,L,After,15.72,36,16.6666667,0
Q,7,L,After,15.72,47,16.6666667,0
Q,8,L,After,15.72,64,16.6666667,0
Q,9,L,After,15.72,45.5,33.3333333,0.5
Q,10,L,After,15.72,37.66666667,50,0.5
R,1,M,Before,15.78,0,0,0
R,2,M,Before,15.78,0,0,0
R,3,M,Before,15.78,0,0,0
R,4,M,Before,15.78,0,0,0
R,5,M,Before,15.78,0,0,0
R,6,M,After,15.78,45,16.6666667,0
R,7,M,After,15.78,68,16.6666667,0
R,8,M,After,15.78,46.5,33.3333333,0.5
R,9,M,After,15.78,38,50,0.5
R,10,M,After,15.78,38.4,83.3333333,0.5
S,1,M,Before,16.05,0,0,0
S,2,M,Before,16.05,0,0,0
S,3,M,Before,16.05,0,0,0
S,4,M,Before,16.05,0,0,0
S,5,M,Before,16.05,0,0,0
S,6,M,After,16.05,29,16.6666667,0
S,7,M,After,16.05,33,16.6666667,0
S,8,M,After,16.05,13.66666667,50,0.5
S,9,M,After,16.05,16.33333333,50,0
S,10,M,After,16.05,15.33333333,50,0
T,1,C,Before,15.78,0,0,0
T,2,C,Before,15.78,0,0,0
