shoal,time,lower,upper,duration,weight
Aa,1,ULB,ULG,,3
Aa,2,LB,ULB,,1
Aa,2,UG,ULB,,2
Aa,2,ULB,LB,,1
Aa,2,ULB,LG,,2
Aa,3,ULG,ULB,,1
Aa,4,ULG,UB,,1
Aa,5,ULB,LG,,2
Aa,6,LG,UB,,3
Aa,6,LG,ULG,,2
Aa,6,LG,LB,,1
Aa,6,LG,UG,,2
Aa,7,LB,UG,,1
Aa,7,UG,ULB,,1
Aa,7,LG,UB,,2
Aa,7,LG,ULG,,3
Aa,7,LG,LB,,3
Aa,7,LG,UG,,2
Aa,7,LG,ULB,,4
Aa,8,UG,ULG,,1
Aa,8,LG,ULG,,2
Aa,8,LG,UG,,3
Aa,8,LG,ULB,,2
Aa,8,ULB,ULG,,1
Aa,9,UG,LB,,1
Aa,9,LG,UB,,2
Aa,9,LG,ULG,,5
Aa,9,LG,LB,,4
Aa,9,LG,UG,,1
Aa,9,LG,ULB,,3
Aa,9,ULB,ULG,,1
Aa,10,UB,LB,,1
Aa,10,LG,UB,,4
Aa,10,LG,ULG,,6
Aa,10,LG,LB,,5
Aa,10,LG,UG,,1
Aa,10,LG,ULB,,8
Aa,10,ULB,UG,,2
G,1,LB,ULG,78.1,1
G,1,UG,UB,72.6,3
G,1,UG,ULG,7.55,1
G,2,ULB,ULG,4.73,2
G,3,LG,UG,20.62,3
G,3,LG,ULB,31.43,2
G,3,UB,UG,2.06,1
G,3,UG,LB,7.3,1
G,3,UG,LG,66.88,3
G,3,UG,ULG,25.18,1
G,4,LB,ULG,62.82,1
G,4,LG,LB,28.25,1
G,4,LG,UG,2.31,1
G,4,ULB,LB,43.99,2
G,4,ULG,UG,8.05,1
G,5,LB,UG,15.08,1
G,5,LB,ULG,2.98,1
G,5,LG,UG,2.3,1
G,5,UB,ULG,3.06,1
G,5,UG,ULG,17.09,2
G,5,ULG,LB,24.85,8
G,5,ULG,LG,3.55,1
G,5,ULG,UB,1.93,1
G,6,LB,UB,31.32,2
G,6,LG,LB,29.13,1
G,6,UB,LB,4.13,1
G,6,UB,ULB,14.55,1
G,6,ULB,LB,35.18,1
G,6,ULG,UG,1.28,1
G,7,LG,ULG,14.2,3
G,7,ULG,LG,2.08,1
G,8,LG,UG,3.88,1
G,8,UG,UB,4.5,2
G,8,UG,ULG,1.92,1
G,9,LG,UB,12.77,1
G,9,LG,UG,14.6,2
G,9,LG,ULG,24.73,1
G,10,LG,LB,2.5,1
G,10,LG,UG,9.02,1
G,10,UB,LG,11.25,1
G,10,UB,ULB,13.98,1
G,10,UG,LB,63.97,2
G,10,UG,LG,19.51,2
G,10,UG,ULG,60.27,6
G,10,ULB,UB,21.67,3
G,10,ULG,UG,59.3,2
H,1,LB,UG,74.62,1
H,1,UB,ULG,52.42,1
H,1,UG,LB,2.25,1
H,1,ULB,LG,244.3,2
H,1,ULG,LG,9.26,1
H,1,ULG,ULB,43.18,5
H,3,LG,UB,37.95,1
H,3,LG,ULB,23.16,1
H,3,UB,ULB,8.72,1
H,3,ULG,LB,47.7,1
H,4,UB,ULB,190.94,1
H,4,UB,ULG,144.33,4
H,4,UG,ULB,11.72,1
H,5,UB,ULB,41.62,2
H,7,LB,UB,31.08,1
H,7,UB,LG,13.9,1
H,7,ULB,UG,7.96,1
H,8,LG,UB,59.28,1
H,8,LG,UG,87.9,1
H,8,ULB,LG,5.26,1
H,8,ULB,UG,45.16,1
H,8,ULG,LB,8.1,1
H,9,LB,LG,27.02,1
H,9,LB,UB,39.05,1
H,9,LG,UB,28.28,2
H,9,ULB,LG,34.27,2
H,10,LG,UG,33.3,1
H,10,UB,UG,50.4,1
H,10,UG,UB,47.2,2
I,1,LB,LB,2.28,1
I,1,LG,UB,60.01,1
I,1,UB,LB,13.85,1
I,1,UB,ULG,7.3,2
I,1,UG,LG,97.2,3
I,1,UG,ULG,63.2,1
I,1,ULB,UG,38.69,5
I,1,ULG,UG,33.51,1
I,2,ULB,LB,12.73,2
I,2,ULB,ULG,5.27,2
I,2,ULG,LB,23.04,3
I,2,ULG,UB,0.98,1
I,2,ULG,UB,44.37,5
I,2,ULG,UG,4.6,1
I,2,ULG,ULB,2.96,1
I,3,LG,ULG,18.2,4
I,3,ULB,LB,9.13,1
I,3,ULG,UG,1.68,1
I,4,LG,ULB,10.4,1
I,4,ULG,UB,1.33,1
I,4,ULG,UG,19.57,2
I,4,ULG,ULB,1.35,1
I,5,LB,ULG,2.22,2
I,5,LG,ULG,4.86,2
I,5,UB,ULG,3.28,2
I,5,UG,ULG,2.55,1
I,5,ULB,LB,22.95,1
I,5,ULB,UB,2.46,1
I,5,ULG,LB,3.6,1
I,5,ULG,UG,4.58,2
I,5,ULG,ULB,6.52,1
I,6,UB,ULB,219.72,7
I,6,UB,ULG,35.03,4
I,6,UG,ULG,11.08,2
I,6,ULB,LB,7.52,1
I,6,ULB,LG,15.15,1
I,6,ULB,ULG,12.06,1
I,6,ULG,LG,5.8,2
I,6,ULG,UB,12.13,2
I,6,ULG,ULB,4.65,1
I,7,UB,ULB,58.76,3
I,7,UB,ULG,2.36,1
I,7,ULB,LG,12.06,1
I,7,ULB,ULG,25.73,2
I,7,ULG,LG,13.93,3
I,7,ULG,UB,8.43,1
I,7,ULG,ULB,20.98,2
I,8,ULB,ULG,2.52,1
I,8,ULG,LG,4.98,2
I,8,ULG,UB,1.15,1
I,8,ULG,UG,15.08,3
I,8,ULG,ULB,6.76,1
I,9,LG,ULB,34.76,4
I,9,UB,LB,46.94,3
I,9,UB,ULB,12.1,1
I,9,ULB,UB,27.73,2
I,9,ULB,UG,20.2,1
I,9,ULB,ULG,20.2,1
I,9,ULG,LG,12.68,1
I,9,ULG,UB,19.86,1
I,10,LB,UB,4.07,1
I,10,LB,ULB,14.72,1
I,10,LG,ULG,79.61,2
I,10,UB,UG,8.78,3
I,10,UG,UB,12.75,2
I,10,ULB,UB,5.9,2
I,10,ULB,UG,32.7,1
I,10,ULG,UB,1.83,1
I,10,ULG,UG,22.02,1
J,1,ULB,LB,10.39,2
J,1,ULB,UB,8.5,1
J,2,LB,ULB,9.73,2
J,2,UB,LG,5.2,1
J,2,UB,UG,12.76,2
J,2,UB,ULB,14.28,1
J,2,UG,ULB,8.49,2
J,2,ULB,LB,3.25,2
J,2,ULB,LG,1.56,1
J,2,ULB,UB,11.46,3
J,2,ULB,UG,5.6,1
J,3,LB,UB,16.13,1
J,3,UG,UB,15.85,1
J,3,ULG,LB,14.82,1
J,4,LB,ULG,15.08,2
J,4,LG,LB,3.9,1
J,4,LG,ULG,8.93,3
J,4,UB,LB,72.89,3
J,4,UG,LG,12.73,1
J,4,UG,ULB,2.76,2
J,4,UG,ULG,11.65,2
J,4,ULB,UB,1.7,1
J,4,ULB,UG,3.42,1
J,5,UG,ULB,3.66,1
J,6,LB,UG,24.25,1
J,6,LB,ULB,35.17,3
J,6,UB,LB,18.4,1
J,6,UG,LB,12.09,2
J,7,LB,UG,12.86,3
J,7,UB,UG,3.67,1
